disaster_typesepoch: 38_test:tensor(0.8003, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8244, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 39_test:tensor(0.7953, device='cuda:0')_val:tensor(0.7510, device='cuda:0')_train:tensor(0.8262, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 40_test:tensor(0.7950, device='cuda:0')_val:tensor(0.7755, device='cuda:0')_train:tensor(0.8207, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 41_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8248, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 42_test:tensor(0.7962, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8228, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 43_test:tensor(0.8025, device='cuda:0')_val:tensor(0.7741, device='cuda:0')_train:tensor(0.8215, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 44_test:tensor(0.8031, device='cuda:0')_val:tensor(0.7721, device='cuda:0')_train:tensor(0.8266, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 45_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7701, device='cuda:0')_train:tensor(0.8207, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 46_test:tensor(0.7972, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8240, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 47_test:tensor(0.7931, device='cuda:0')_val:tensor(0.7694, device='cuda:0')_train:tensor(0.8234, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 48_test:tensor(0.7987, device='cuda:0')_val:tensor(0.7680, device='cuda:0')_train:tensor(0.8279, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 49_test:tensor(0.7956, device='cuda:0')_val:tensor(0.7755, device='cuda:0')_train:tensor(0.8194, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 50_test:tensor(0.8050, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8260, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 51_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8207, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 52_test:tensor(0.8028, device='cuda:0')_val:tensor(0.7721, device='cuda:0')_train:tensor(0.8184, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 53_test:tensor(0.8063, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8236, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 54_test:tensor(0.7956, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8280, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 55_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8231, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 56_test:tensor(0.8003, device='cuda:0')_val:tensor(0.7694, device='cuda:0')_train:tensor(0.8256, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 57_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8220, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 58_test:tensor(0.7937, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8217, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 59_test:tensor(0.7890, device='cuda:0')_val:tensor(0.7680, device='cuda:0')_train:tensor(0.8285, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 60_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7707, device='cuda:0')_train:tensor(0.8263, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 61_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7687, device='cuda:0')_train:tensor(0.8245, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 62_test:tensor(0.7987, device='cuda:0')_val:tensor(0.7660, device='cuda:0')_train:tensor(0.8268, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 63_test:tensor(0.7915, device='cuda:0')_val:tensor(0.7639, device='cuda:0')_train:tensor(0.8217, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 64_test:tensor(0.8069, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8249, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 65_test:tensor(0.7906, device='cuda:0')_val:tensor(0.7626, device='cuda:0')_train:tensor(0.8247, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 66_test:tensor(0.7922, device='cuda:0')_val:tensor(0.7558, device='cuda:0')_train:tensor(0.8319, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 67_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7680, device='cuda:0')_train:tensor(0.8272, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 68_test:tensor(0.7956, device='cuda:0')_val:tensor(0.7626, device='cuda:0')_train:tensor(0.8252, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 69_test:tensor(0.7975, device='cuda:0')_val:tensor(0.7673, device='cuda:0')_train:tensor(0.8248, device='cuda:0')_lr:1.0000000000000004e-08
