disaster_types_test:tensor(0.6141, device='cuda:0')_val:tensor(0.6116, device='cuda:0')_train:tensor(0.9844, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6210, device='cuda:0')_val:tensor(0.6143, device='cuda:0')_train:tensor(0.9900, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6225, device='cuda:0')_val:tensor(0.6163, device='cuda:0')_train:tensor(0.9932, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6247, device='cuda:0')_val:tensor(0.6163, device='cuda:0')_train:tensor(0.9960, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6279, device='cuda:0')_val:tensor(0.6170, device='cuda:0')_train:tensor(0.9978, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6300, device='cuda:0')_val:tensor(0.6224, device='cuda:0')_train:tensor(0.9988, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6322, device='cuda:0')_val:tensor(0.6218, device='cuda:0')_train:tensor(0.9994, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6338, device='cuda:0')_val:tensor(0.6245, device='cuda:0')_train:tensor(0.9998, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6245, device='cuda:0')_train:tensor(0.9998, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5023, device='cuda:0')_val:tensor(0.4857, device='cuda:0')_train:tensor(0.4800, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5330, device='cuda:0')_val:tensor(0.5306, device='cuda:0')_train:tensor(0.6840, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5446, device='cuda:0')_val:tensor(0.5469, device='cuda:0')_train:tensor(0.7447, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5577, device='cuda:0')_val:tensor(0.5558, device='cuda:0')_train:tensor(0.7937, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5671, device='cuda:0')_val:tensor(0.5735, device='cuda:0')_train:tensor(0.8376, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5734, device='cuda:0')_val:tensor(0.5782, device='cuda:0')_train:tensor(0.8754, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5828, device='cuda:0')_val:tensor(0.5830, device='cuda:0')_train:tensor(0.9064, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5837, device='cuda:0')_val:tensor(0.5884, device='cuda:0')_train:tensor(0.9319, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5903, device='cuda:0')_val:tensor(0.5959, device='cuda:0')_train:tensor(0.9527, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5966, device='cuda:0')_val:tensor(0.5993, device='cuda:0')_train:tensor(0.9671, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6016, device='cuda:0')_val:tensor(0.6014, device='cuda:0')_train:tensor(0.9789, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6044, device='cuda:0')_val:tensor(0.6034, device='cuda:0')_train:tensor(0.9856, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6085, device='cuda:0')_val:tensor(0.6122, device='cuda:0')_train:tensor(0.9907, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6131, device='cuda:0')_val:tensor(0.6088, device='cuda:0')_train:tensor(0.9934, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6156, device='cuda:0')_val:tensor(0.6088, device='cuda:0')_train:tensor(0.9964, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6191, device='cuda:0')_val:tensor(0.6136, device='cuda:0')_train:tensor(0.9974, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6197, device='cuda:0')_val:tensor(0.6122, device='cuda:0')_train:tensor(0.9988, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6213, device='cuda:0')_val:tensor(0.6136, device='cuda:0')_train:tensor(0.9997, device='cuda:0')_lr:1e-05
