disaster_typesepoch: 39_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7701, device='cuda:0')_train:tensor(0.8818, device='cuda:0')_lr:1e-05
disaster_typesepoch: 40_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7748, device='cuda:0')_train:tensor(0.8847, device='cuda:0')_lr:1e-05
disaster_typesepoch: 41_test:tensor(0.8050, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8846, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 42_test:tensor(0.7981, device='cuda:0')_val:tensor(0.7755, device='cuda:0')_train:tensor(0.8913, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 43_test:tensor(0.8003, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8844, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 44_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7803, device='cuda:0')_train:tensor(0.8889, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 45_test:tensor(0.8019, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8922, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 46_test:tensor(0.7987, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8903, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 47_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7748, device='cuda:0')_train:tensor(0.8909, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 48_test:tensor(0.7956, device='cuda:0')_val:tensor(0.7796, device='cuda:0')_train:tensor(0.8909, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 49_test:tensor(0.7981, device='cuda:0')_val:tensor(0.7789, device='cuda:0')_train:tensor(0.8894, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 50_test:tensor(0.8019, device='cuda:0')_val:tensor(0.7769, device='cuda:0')_train:tensor(0.8867, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 51_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8897, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 52_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8902, device='cuda:0')_lr:1.0000000000000002e-06
disaster_typesepoch: 53_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8922, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 54_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7816, device='cuda:0')_train:tensor(0.8898, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 55_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8906, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 56_test:tensor(0.7987, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8892, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 57_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8901, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 58_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8945, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 59_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8935, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 60_test:tensor(0.7991, device='cuda:0')_val:tensor(0.7830, device='cuda:0')_train:tensor(0.8923, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 61_test:tensor(0.8003, device='cuda:0')_val:tensor(0.7769, device='cuda:0')_train:tensor(0.8900, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 62_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8937, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 63_test:tensor(0.8034, device='cuda:0')_val:tensor(0.7789, device='cuda:0')_train:tensor(0.8880, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 64_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8913, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 65_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7816, device='cuda:0')_train:tensor(0.8934, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 66_test:tensor(0.7978, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8949, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 67_test:tensor(0.8022, device='cuda:0')_val:tensor(0.7816, device='cuda:0')_train:tensor(0.8918, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 68_test:tensor(0.8028, device='cuda:0')_val:tensor(0.7755, device='cuda:0')_train:tensor(0.8910, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 69_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7728, device='cuda:0')_train:tensor(0.8888, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 70_test:tensor(0.8041, device='cuda:0')_val:tensor(0.7823, device='cuda:0')_train:tensor(0.8903, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 71_test:tensor(0.7934, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8902, device='cuda:0')_lr:1.0000000000000002e-07
disaster_typesepoch: 72_test:tensor(0.7994, device='cuda:0')_val:tensor(0.7789, device='cuda:0')_train:tensor(0.8943, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 73_test:tensor(0.8019, device='cuda:0')_val:tensor(0.7857, device='cuda:0')_train:tensor(0.8944, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 74_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7857, device='cuda:0')_train:tensor(0.8941, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 75_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8894, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 76_test:tensor(0.8034, device='cuda:0')_val:tensor(0.7823, device='cuda:0')_train:tensor(0.8885, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 77_test:tensor(0.8019, device='cuda:0')_val:tensor(0.7735, device='cuda:0')_train:tensor(0.8941, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 78_test:tensor(0.7972, device='cuda:0')_val:tensor(0.7796, device='cuda:0')_train:tensor(0.8920, device='cuda:0')_lr:1.0000000000000004e-08
